Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
Aaron Lugo,Texas State,3B,.326,.428,.580,1.008,53,238,193,55,63,15,2,10,49,10,28,30,14,1
Kameron Weil,Texas State,CF,.317,.425,.373,.799,44,182,142,26,45,4,2,0,17,3,26,21,12,4
August Ramirez,Texas State,C,.280,.384,.516,.900,48,190,161,25,45,6,1,10,38,5,23,46,0,0
Daylan Pena,Texas State,LF,.270,.373,.471,.844,53,225,189,35,51,15,1,7,43,4,29,30,1,0
Alec Patino,Texas State,1B,.265,.375,.389,.764,54,225,185,38,49,11,0,4,29,6,29,39,2,1
Chase Mora,Texas State,2B,.251,.320,.390,.710,56,247,223,41,56,11,1,6,49,3,20,44,6,0
Davis Powell,Texas State,SS,.249,.388,.325,.713,51,217,169,31,42,5,1,2,29,18,23,31,3,3
Ryne Farber,Texas State,CF,.340,.466,.468,.934,40,178,141,36,48,10,1,2,25,7,28,9,8,2
Rashawn Galloway,Texas State,DH,.279,.364,.423,.788,37,129,111,20,31,6,2,2,19,0,16,17,0,0
Ian Collier,Texas State,C,.261,.358,.457,.815,15,53,46,6,12,3,0,2,7,4,3,14,0,0
Cam Thompson,Texas State,RF,.250,.340,.432,.772,13,50,44,8,11,2,0,2,6,3,3,14,0,1
Tyler Garritano,Texas State,DH,.250,.357,.333,.690,5,14,12,3,3,1,0,0,2,0,2,3,0,0
Alex Gonzales,Texas State,3B,.217,.381,.304,.685,25,65,46,20,10,1,0,1,10,3,11,10,1,0
Cade Manning,Texas State,RF,.209,.372,.302,.674,32,113,86,18,18,2,0,2,16,5,19,31,3,0
Ethan Farris,Texas State,RF,.183,.265,.217,.481,21,68,60,9,11,2,0,0,6,0,7,14,0,0
Samson Pugh,Texas State,LF,.167,.304,.500,.804,10,24,18,8,3,0,0,2,4,0,4,2,0,0
Ben Merriman,Texas State,LF,.167,.444,.167,.611,5,9,6,3,1,0,0,0,1,1,2,4,0,0
Chris Bernal,Texas State,C,.130,.259,.130,.390,12,29,23,4,3,0,0,0,3,2,2,9,0,0
Peyton Benesh,Texas State,SS,.000,.000,.000,.000,1,1,1,1,0,0,0,0,0,0,0,1,0,0
